=== Windows Services ===
Collection Time: 2025-05-21 17:07:34

Name                                          PathName                                                                                                                                                                                                                                                                                                                                                                                                                    StartMode  StartName                    State    Status   
diagsvc                                       C:\WINDOWS\System32\svchost.exe -k diagnostics                                                                                                                                                                                                                                                                                                                                                                              Manual     LocalSystem                  Stopped  OK       

DiagTrack                                     C:\WINDOWS\System32\svchost.exe -k utcsvc -p                                                                                                                                                                                                                                                                                                                                                                                Auto       LocalSystem                  Running  OK       

DispBrokerDesktopSvc                          C:\WINDOWS\system32\svchost.exe -k LocalService -p                                                                                                                                                                                                                                                                                                                                                                          Auto       NT AUTHORITY\LocalService    Running  OK       

DisplayEnhancementService                     C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                          Manual     LocalSystem                  Running  OK       

DmEnrollmentSvc                               C:\WINDOWS\system32\svchost.exe -k netsvcs -p                                                                                                                                                                                                                                                                                                                                                                               Manual     LocalSystem                  Stopped  OK       

dmwappushservice                              C:\WINDOWS\system32\svchost.exe -k netsvcs -p                                                                                                                                                                                                                                                                                                                                                                               Manual     LocalSystem                  Stopped  OK       

Dnscache                                      C:\WINDOWS\system32\svchost.exe -k NetworkService -p                                                                                                                                                                                                                                                                                                                                                                        Auto       NT AUTHORITY\NetworkService  Running  OK       

DolbyDAXAPI                                   C:\WINDOWS\System32\DriverStore\FileRepository\dax3_swc_aposvc.inf_amd64_fe9531bca29258f3\DAX3API.exe                                                                                                                                                                                                                                                                                                                       Auto       LocalSystem                  Running  OK       

DoSvc                                         C:\WINDOWS\System32\svchost.exe -k NetworkService -p                                                                                                                                                                                                                                                                                                                                                                        Auto       NT Authority\NetworkService  Stopped  OK       

dot3svc                                       C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                          Manual     localSystem                  Stopped  OK       

DPS                                           C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p                                                                                                                                                                                                                                                                                                                                                                 Auto       NT AUTHORITY\LocalService    Running  OK       

DsmSvc                                        C:\WINDOWS\system32\svchost.exe -k netsvcs -p                                                                                                                                                                                                                                                                                                                                                                               Manual     LocalSystem                  Stopped  OK       

DsSvc                                         C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                          Manual     LocalSystem                  Stopped  OK       

DusmSvc                                       C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc                                                                                                                                                                                                                                                                                                                                              Auto       NT Authority\LocalService    Running  OK       

EapHost                                       C:\WINDOWS\System32\svchost.exe -k netsvcs -p                                                                                                                                                                                                                                                                                                                                                                               Manual     localSystem                  Stopped  OK       

edgeupdate                                    "C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe" /svc                                                                                                                                                                                                                                                                                                                                                  Auto       LocalSystem                  Stopped  OK       

edgeupdatem                                   "C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe" /medsvc                                                                                                                                                                                                                                                                                                                                               Manual     LocalSystem                  Stopped  OK       

EFS                                           C:\WINDOWS\System32\lsass.exe                                                                                                                                                                                                                                                                                                                                                                                               Manual     LocalSystem                  Stopped  OK       

embeddedmode                                  C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                          Manual     LocalSystem                  Stopped  OK       

EntAppSvc                                     C:\WINDOWS\system32\svchost.exe -k appmodel -p                                                                                                                                                                                                                                                                                                                                                                              Manual     LocalSystem                  Stopped  OK       

EventLog                                      C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                         Auto       NT AUTHORITY\LocalService    Running  OK       

EventSystem                                   C:\WINDOWS\system32\svchost.exe -k LocalService -p                                                                                                                                                                                                                                                                                                                                                                          Auto       NT AUTHORITY\LocalService    Running  OK       

fdPHost                                       C:\WINDOWS\system32\svchost.exe -k LocalService -p                                                                                                                                                                                                                                                                                                                                                                          Manual     NT AUTHORITY\LocalService    Stopped  OK       

FDResPub                                      C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p                                                                                                                                                                                                                                                                                                                                                        Manual     NT AUTHORITY\LocalService    Stopped  OK       

fhsvc                                         C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                          Manual     LocalSystem                  Stopped  OK       

FMAPOService                                  C:\WINDOWS\System32\FMService64.exe                                                                                                                                                                                                                                                                                                                                                                                         Auto       LocalSystem                  Running  OK       

FontCache                                     C:\WINDOWS\system32\svchost.exe -k LocalService -p                                                                                                                                                                                                                                                                                                                                                                          Auto       NT AUTHORITY\LocalService    Running  OK       

FontCache3.0.0.0                              C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe                                                                                                                                                                                                                                                                                                                                                     Manual     NT Authority\LocalService    Stopped  OK       

FrameServer                                   C:\WINDOWS\System32\svchost.exe -k Camera                                                                                                                                                                                                                                                                                                                                                                                   Manual     NT AUTHORITY\LocalService    Stopped  OK       

FrameServerMonitor                            C:\WINDOWS\System32\svchost.exe -k CameraMonitor                                                                                                                                                                                                                                                                                                                                                                            Manual     LocalSystem                  Stopped  OK       

FvSvc                                         "C:\Program Files\NVIDIA Corporation\FrameViewSDK\nvfvsdksvc_x64.exe" -service                                                                                                                                                                                                                                                                                                                                              Manual     LocalSystem                  Stopped  OK       

GameInputSvc                                  C:\WINDOWS\System32\GameInputSvc.exe                                                                                                                                                                                                                                                                                                                                                                                        Manual     LocalSystem                  Stopped  OK       

GoogleChromeElevationService                  "C:\Program Files\Google\Chrome\Application\136.0.7103.114\elevation_service.exe"                                                                                                                                                                                                                                                                                                                                           Manual     LocalSystem                  Stopped  OK       

GoogleUpdaterInternalService138.0.7156.0      "C:\Program Files (x86)\Google\GoogleUpdater\138.0.7156.0\updater.exe" --system --windows-service --service=update-internal                                                                                                                                                                                                                                                                                                 Auto       LocalSystem                  Stopped  OK       

GoogleUpdaterService138.0.7156.0              "C:\Program Files (x86)\Google\GoogleUpdater\138.0.7156.0\updater.exe" --system --windows-service --service=update                                                                                                                                                                                                                                                                                                          Auto       LocalSystem                  Stopped  OK       

gpsvc                                         C:\WINDOWS\system32\svchost.exe -k GPSvcGroup                                                                                                                                                                                                                                                                                                                                                                               Auto       LocalSystem                  Running  OK       

GraphicsPerfSvc                               C:\WINDOWS\System32\svchost.exe -k GraphicsPerfSvcGroup                                                                                                                                                                                                                                                                                                                                                                     Manual     LocalSystem                  Stopped  OK       

hidserv                                       C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                          Manual     LocalSystem                  Running  OK       

hns                                           C:\WINDOWS\system32\svchost.exe -k NetSvcs -p                                                                                                                                                                                                                                                                                                                                                                               Manual     LocalSystem                  Running  OK       

HvHost                                        C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                          Manual     LocalSystem                  Running  OK       

icssvc                                        C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                         Manual     NT Authority\LocalService    Stopped  OK       

IKEEXT                                        C:\WINDOWS\system32\svchost.exe -k netsvcs -p                                                                                                                                                                                                                                                                                                                                                                               Manual     LocalSystem                  Stopped  OK       

InstallService                                C:\WINDOWS\System32\svchost.exe -k netsvcs -p                                                                                                                                                                                                                                                                                                                                                                               Manual     LocalSystem                  Running  OK       

InventorySvc                                  C:\WINDOWS\system32\svchost.exe -k InvSvcGroup -p                                                                                                                                                                                                                                                                                                                                                                           Auto       LocalSystem                  Running  OK       

iphlpsvc                                      C:\WINDOWS\System32\svchost.exe -k NetSvcs -p                                                                                                                                                                                                                                                                                                                                                                               Auto       LocalSystem                  Running  OK       

IpOverUsbSvc                                  "C:\Microsoft Shared\Phone Tools\CoreCon\11.0\bin\IpOverUsbSvc.exe"                                                                                                                                                                                                                                                                                                                                                         Auto       LocalSystem                  Running  OK       

IpxlatCfgSvc                                  C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                          Manual     LocalSystem                  Stopped  OK       

KeyIso                                        C:\WINDOWS\system32\lsass.exe                                                                                                                                                                                                                                                                                                                                                                                               Manual     LocalSystem                  Running  OK       

KtmRm                                         C:\WINDOWS\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p                                                                                                                                                                                                                                                                                                                                                      Manual     NT AUTHORITY\NetworkService  Stopped  OK       

LanmanServer                                  C:\WINDOWS\system32\svchost.exe -k netsvcs -p                                                                                                                                                                                                                                                                                                                                                                               Auto       LocalSystem                  Running  OK       

LanmanWorkstation                             C:\WINDOWS\System32\svchost.exe -k NetworkService -p                                                                                                                                                                                                                                                                                                                                                                        Auto       NT AUTHORITY\NetworkService  Running  OK       

LenovoFnAndFunctionKeys                       C:\WINDOWS\System32\DriverStore\FileRepository\lenovofnandfunctionkeys.inf_amd64_fa50a878363b0cec\LenovoUtilityService.exe                                                                                                                                                                                                                                                                                                  Auto       LocalSystem                  Running  OK       

LenovoVantageService                          "C:\Program Files (x86)\Lenovo\VantageService\\4.3.21.0\LenovoVantageService.exe"                                                                                                                                                                                                                                                                                                                                           Auto       LocalSystem                  Running  OK       

lfsvc                                         C:\WINDOWS\system32\svchost.exe -k netsvcs -p                                                                                                                                                                                                                                                                                                                                                                               Manual     LocalSystem                  Running  OK       

LicenseManager                                C:\WINDOWS\System32\svchost.exe -k LocalService -p                                                                                                                                                                                                                                                                                                                                                                          Manual     NT Authority\LocalService    Running  OK       

lltdsvc                                       C:\WINDOWS\System32\svchost.exe -k LocalService -p                                                                                                                                                                                                                                                                                                                                                                          Manual     NT AUTHORITY\LocalService    Stopped  OK       

lmhosts                                       C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                         Manual     NT AUTHORITY\LocalService    Running  OK       

LocalKdc                                      C:\WINDOWS\System32\lsass.exe                                                                                                                                                                                                                                                                                                                                                                                               Auto       LocalSystem                  Stopped  OK       

LSM                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Unknown                                 Running  UNKNOWN  

LxpSvc                                        C:\WINDOWS\system32\svchost.exe -k netsvcs                                                                                                                                                                                                                                                                                                                                                                                  Manual     LocalSystem                  Stopped  OK       

MapsBroker                                    C:\WINDOWS\System32\svchost.exe -k NetworkService -p                                                                                                                                                                                                                                                                                                                                                                        Auto       NT AUTHORITY\NetworkService  Stopped  OK       

McpManagementService                          C:\WINDOWS\system32\svchost.exe -k McpManagementServiceGroup                                                                                                                                                                                                                                                                                                                                                                Manual     LocalSystem                  Stopped  OK       

MDCoreSvc                                     "C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25030.2-0\MpDefenderCoreService.exe"                                                                                                                                                                                                                                                                                                                               Auto       LocalSystem                  Running  OK       

Microsoft SharePoint Workspace Audit Service  "C:\Program Files (x86)\Microsoft Office\Office14\GROOVE.EXE" /auditservice                                                                                                                                                                                                                                                                                                                                                 Manual     NT AUTHORITY\LocalService    Stopped  OK       

MicrosoftEdgeElevationService                 "C:\Program Files (x86)\Microsoft\Edge\Application\136.0.3240.76\elevation_service.exe"                                                                                                                                                                                                                                                                                                                                     Manual     LocalSystem                  Stopped  OK       

