=== Running Processes ===
Collection Time: 2025-05-21 17:07:32

PID        CPU %      Memory %   Name                           Username             Created                   Connections
----------------------------------------------------------------------------------------------------
0          0.0        0.0        System Idle Process            NT AUTHORITY\SYSTEM  N/A                       2
4          0.0        0.0        System                         NT AUTHORITY\SYSTEM  N/A                       7
4420       0.0        0.2        chrome.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 16:55:20       0
4428       0.0        0.2        svchost.exe                    N/A                  2025-05-21 14:36:51       0
4476       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:51       0
4576       0.0        0.1        RuntimeBroker.exe              LAPTOP-RUPESH\Rupesh 2025-05-21 15:23:23       0
4616       0.0        1.4        chrome.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 15:41:46       0
4632       0.0        0.2        svchost.exe                    N/A                  2025-05-21 14:36:51       0
4672       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:51       0
4728       0.0        0.1        wlanext.exe                    N/A                  2025-05-21 14:36:51       0
4836       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:51       0
4844       0.0        0.1        svchost.exe                    N/A                  2025-05-21 15:25:25       0
4864       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:55       0
4872       0.0        0.1        spoolsv.exe                    N/A                  2025-05-21 14:36:51       2
4916       0.0        0.6        Code.exe                       LAPTOP-RUPESH\Rupesh 2025-05-21 15:36:24       0
4936       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:51       0
5020       0.0        0.2        svchost.exe                    N/A                  2025-05-21 14:36:51       0
5060       0.0        0.3        powershell.exe                 LAPTOP-RUPESH\Rupesh 2025-05-21 15:36:23       0
5132       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:51       0
5160       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:51       0
5320       0.0        0.2        svchost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:54       0
5332       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:51       0
5344       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:51       1
5352       0.0        0.1        DAX3API.exe                    N/A                  2025-05-21 14:36:51       0
5364       0.0        0.1        FMService64.exe                N/A                  2025-05-21 14:36:51       0
5372       0.0        0.1        IpOverUsbSvc.exe               N/A                  2025-05-21 14:36:51       0
5380       0.0        0.3        svchost.exe                    N/A                  2025-05-21 14:36:51       0
5408       0.0        0.3        OfficeClickToRun.exe           N/A                  2025-05-21 14:36:51       0
5420       0.0        0.3        svchost.exe                    N/A                  2025-05-21 14:36:51       0
5440       0.0        0.4        LenovoVantageService.exe       N/A                  2025-05-21 14:36:51       0
5448       0.0        0.1        MpDefenderCoreService.exe      N/A                  2025-05-21 14:36:51       0
5480       0.0        0.1        LenovoUtilityService.exe       N/A                  2025-05-21 14:36:51       0
5544       0.0        0.3        FnHotkeyUtility.exe            LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:00       0
5548       0.0        0.2        SafeExamBrowser.Service.exe    N/A                  2025-05-21 14:36:51       0
5560       0.0        0.2        nvcontainer.exe                N/A                  2025-05-21 14:36:51       7
5568       0.0        0.0        svchost.exe                    N/A                  2025-05-21 14:36:51       0
5584       0.0        0.1        RtkAudUService64.exe           N/A                  2025-05-21 14:36:51       0
5592       0.0        1.7        MsMpEng.exe                    N/A                  2025-05-21 14:36:51       0
5604       0.0        0.2        svchost.exe                    N/A                  2025-05-21 14:36:51       1
5620       0.0        0.0        WsNativePushService.exe        N/A                  2025-05-21 14:36:51       0
5632       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:51       0
5644       0.0        0.1        sqlwriter.exe                  N/A                  2025-05-21 14:36:51       0
5684       0.0        0.1        mysqld.exe                     N/A                  2025-05-21 14:36:51       0
5704       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:51       0
5736       0.0        0.2        wslservice.exe                 N/A                  2025-05-21 14:36:51       0
5752       0.0        0.1        python.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 15:48:02       4
5972       0.0        0.6        Code.exe                       LAPTOP-RUPESH\Rupesh 2025-05-21 15:36:22       0
6228       0.0        4.2        Code.exe                       LAPTOP-RUPESH\Rupesh 2025-05-21 15:48:02       0
6332       0.0        0.1        DAX3API.exe                    N/A                  2025-05-21 14:36:52       0
6480       0.0        0.3        mysqld.exe                     N/A                  2025-05-21 14:36:52       8
6532       0.0        0.1        conhost.exe                    N/A                  2025-05-21 14:36:52       0
6632       0.0        0.4        WmiPrvSE.exe                   N/A                  2025-05-21 14:36:52       0
